Date,Price,Open,High,Low,Vol.,Change %
2024-09-15,2317.04,2417.56,2428.91,2294.55,211270.0,-4.16
2024-09-14,2417.56,2439.29,2440.4,2384.99,154060.0,-0.92
2024-09-13,2440.12,2361.79,2459.47,2337.76,302560.0,3.32
2024-09-12,2361.79,2340.33,2387.25,2316.39,249290.0,0.92
2024-09-11,2340.19,2387.98,2388.4,2279.0,333290.0,-1.99
2024-09-10,2387.71,2359.55,2397.1,2323.91,263700.0,1.19
2024-09-09,2359.6,2296.24,2377.64,2274.51,375740.0,2.76
2024-09-08,2296.19,2273.7,2331.99,2243.34,233210.0,0.94
2024-09-07,2274.87,2225.69,2310.57,2222.93,259550.0,2.21
2024-09-06,2225.72,2368.86,2407.07,2151.8,723220.0,-6.06
2024-09-05,2369.18,2450.74,2465.66,2351.72,316780.0,-3.31
2024-09-04,2450.18,2423.41,2488.86,2317.85,422180.0,1.11
2024-09-03,2423.4,2538.35,2551.94,2419.89,250970.0,-4.53
2024-09-02,2538.35,2427.35,2560.67,2425.66,299340.0,4.57
2024-09-01,2427.49,2513.06,2515.77,2403.61,250520.0,-3.42
2024-08-31,2513.56,2525.47,2532.93,2493.84,115170.0,-0.47
2024-08-30,2525.45,2528.49,2540.79,2436.95,378490.0,-0.13
2024-08-29,2528.72,2527.78,2594.63,2509.17,270410.0,0.04
2024-08-28,2527.73,2457.92,2553.02,2421.79,515140.0,2.84
2024-08-27,2457.99,2680.18,2699.73,2396.02,477200.0,-8.29
2024-08-26,2680.3,2746.1,2761.69,2668.63,250080.0,-2.46
2024-08-25,2747.99,2768.9,2792.11,2734.78,175380.0,-0.74
2024-08-24,2768.49,2763.04,2818.05,2735.78,296760.0,0.2
2024-08-23,2762.86,2623.06,2794.82,2622.15,456210.0,5.33
2024-08-22,2623.06,2630.67,2644.06,2587.15,237740.0,-0.29
2024-08-21,2630.67,2572.74,2659.21,2541.32,303580.0,2.25
2024-08-20,2572.9,2637.1,2692.61,2557.87,342510.0,-2.43
2024-08-19,2637.1,2612.1,2647.65,2565.17,252460.0,0.96
2024-08-18,2612.1,2614.35,2682.09,2596.76,197890.0,-0.09
2024-08-17,2614.35,2592.38,2626.62,2588.44,104830.0,0.85
2024-08-16,2592.38,2569.9,2627.47,2552.92,305130.0,0.89
2024-08-15,2569.44,2662.95,2675.13,2525.0,387820.0,-3.51
2024-08-14,2662.95,2702.44,2761.71,2636.0,365550.0,-1.48
2024-08-13,2702.95,2722.66,2737.55,2612.8,351280.0,-0.72
2024-08-12,2722.64,2553.57,2747.46,2518.31,516789.99999999994,6.62
2024-08-11,2553.57,2609.91,2713.68,2545.99,319790.0,-2.17
2024-08-10,2610.24,2598.79,2640.46,2579.59,186390.0,0.44
2024-08-09,2598.9,2682.25,2703.8,2556.98,443650.0,-3.16
2024-08-08,2683.84,2342.81,2716.5,2322.98,626930.0,14.8
2024-08-07,2337.83,2461.84,2550.36,2311.79,671860.0,-5.04
2024-08-06,2461.92,2415.98,2548.23,2415.98,691590.0,1.9
2024-08-05,2415.99,2688.59,2696.91,2166.31,2810000.0,-10.14
2024-08-04,2688.55,2904.59,2931.4,2639.79,543640.0,-7.44
2024-08-03,2904.59,2990.32,3017.57,2863.44,371140.0,-2.87
2024-08-02,2990.32,3203.37,3217.36,2967.43,415570.0,-6.7
2024-08-01,3204.93,3231.81,3242.07,3082.01,350330.0,-0.83
2024-07-31,3231.84,3278.94,3348.63,3216.48,255010.0,-1.44
2024-07-30,3278.94,3318.24,3366.02,3237.67,210280.0,-1.18
2024-07-29,3318.24,3270.32,3396.7,3260.86,340450.0,1.47
2024-07-28,3270.32,3248.83,3282.54,3201.64,113090.0,0.72
2024-07-27,3247.06,3275.12,3326.91,3199.8,247900.0,-0.86
2024-07-26,3275.12,3175.52,3285.72,3173.08,281130.0,3.14
2024-07-25,3175.52,3335.33,3342.15,3089.07,524980.0,-4.79
2024-07-24,3335.33,3482.54,3487.04,3311.8,292510.0,-4.23
2024-07-23,3482.54,3440.01,3537.89,3396.7,521070.00000000006,1.24
2024-07-22,3440.01,3535.55,3559.66,3424.86,219410.0,-2.7
2024-07-21,3535.55,3517.04,3544.71,3415.57,230630.0,0.53
2024-07-20,3517.04,3504.42,3538.32,3480.08,157770.0,0.36
2024-07-19,3504.42,3425.95,3539.42,3377.94,317730.0,2.29
2024-07-18,3425.94,3387.83,3489.43,3374.48,256500.0,1.13
2024-07-17,3387.81,3443.02,3514.65,3378.55,312390.0,-1.6
2024-07-16,3442.99,3483.5,3494.6,3347.85,392520.0,-1.2
2024-07-15,3484.78,3243.5,3490.89,3233.77,329570.0,7.44
2024-07-14,3243.5,3175.1,3265.8,3165.38,171440.0,2.15
2024-07-13,3175.1,3134.15,3200.12,3113.52,125080.0,1.33
2024-07-12,3133.33,3099.82,3157.43,3048.61,195630.0,1.08
2024-07-11,3099.82,3101.17,3214.07,3057.55,299180.0,-0.04
2024-07-10,3101.17,3065.11,3149.76,3026.42,281440.0,1.18
2024-07-09,3065.11,3019.64,3108.63,3004.62,292940.0,1.51
2024-07-08,3019.64,2930.48,3084.2,2826.32,517870.0,3.04
2024-07-07,2930.48,3068.79,3072.32,2923.63,194870.0,-4.51
2024-07-06,3068.79,2981.4,3080.16,2955.65,225180.0,2.93
2024-07-05,2981.4,3057.85,3108.66,2822.44,940650.0,-2.5
2024-07-04,3057.81,3295.13,3313.23,3052.15,510410.0,-7.2
2024-07-03,3295.13,3421.71,3432.12,3256.31,356890.0,-3.7
2024-07-02,3421.71,3442.66,3463.9,3402.98,149310.0,-0.61
2024-07-01,3442.67,3437.84,3522.0,3426.69,241710.0,0.14
2024-06-30,3437.84,3378.6,3459.12,3356.74,150940.0,1.75
2024-06-29,3378.6,3380.17,3408.32,3374.78,95200.0,-0.05
2024-06-28,3380.15,3450.45,3487.12,3369.65,238050.0,-2.04
2024-06-27,3450.45,3370.79,3472.72,3364.08,217370.0,2.37
2024-06-26,3370.72,3395.03,3424.75,3328.42,250140.0,-0.72
2024-06-25,3395.03,3352.26,3424.88,3337.14,275470.0,1.28
2024-06-24,3352.29,3420.83,3433.89,3245.76,601350.0,-2.0
2024-06-23,3420.84,3495.96,3520.35,3410.03,191030.0,-2.15
2024-06-22,3495.87,3518.03,3520.8,3476.08,158470.0,-0.63
2024-06-21,3518.03,3512.95,3543.69,3447.5,392710.0,0.15
2024-06-20,3512.91,3561.24,3624.46,3486.58,371290.0,-1.36
2024-06-19,3561.3,3484.57,3585.8,3466.82,346100.0,2.2
2024-06-18,3484.55,3511.52,3515.87,3373.14,480080.0,-0.77
2024-06-17,3511.52,3625.11,3636.99,3470.65,356790.0,-3.13
2024-06-16,3625.11,3568.74,3650.11,3541.46,156550.0,1.58
2024-06-15,3568.72,3481.75,3592.84,3474.26,256220.00000000003,2.5
2024-06-14,3481.84,3470.16,3530.94,3368.09,339900.0,0.34
2024-06-13,3470.15,3559.95,3561.15,3433.13,316980.0,-2.52
2024-06-12,3559.95,3497.99,3652.79,3464.17,418360.0,1.77
2024-06-11,3498.0,3667.85,3672.92,3433.2,477110.0,-4.63
2024-06-10,3667.85,3706.32,3711.9,3650.33,165290.0,-1.04
2024-06-09,3706.32,3681.59,3719.02,3668.45,108790.0,0.67
2024-06-08,3681.59,3678.36,3709.44,3670.34,147950.0,0.09
2024-06-07,3678.37,3812.95,3840.88,3608.44,384780.0,-3.53
2024-06-06,3812.95,3865.15,3878.28,3765.23,251820.0,-1.35
2024-06-05,3865.14,3810.35,3885.15,3778.13,288180.0,1.44
2024-06-04,3810.35,3767.1,3831.41,3743.11,247960.0,1.15
